gene,A_Cluster,B_Cluster,Cluster,Shift,Category
Gene423,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene299,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene286,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene480,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene481,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene93,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene214,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene245,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene156,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene271,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene165,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene352,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene154,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene186,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene235,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene274,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
Gene312,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene440,DTW-K1-001-DPGP006,DTW-K1-001-DPGP006,A_DTW-K1-001-DPGP006_B_DTW-K1-001-DPGP006,0,GroupC
Gene101,DTW-K1-001-DPGP001,DTW-K1-001-DPGP001,A_DTW-K1-001-DPGP001_B_DTW-K1-001-DPGP001,0,GroupC
